klinik,haus,standort_im_betrieb,gewerk_rv,gewerk_info,eq,turnus_jahre,einzelpreis_eur,anteil_jahr_eur,in_scope_elektro,kommentar
Heidelberg,alle Häuser,Gesamter Standort,el. Anlage 3602 VdS,el. Anlage 3602 VdS,1879930,4,5880,1470,ja,Master-EQ 1879930 (WK VdS); EQ 2805355 = einmalig Inbetriebnahme
Heidelberg,Heidelberg,Haus Heidelberg,Aufzugsanlagen,Personenaufzug,1214122,1,382,382,nein,
Heidelberg,Heidelberg,Haus Heidelberg,Aufzugsanlagen,Personenaufzug,1359792,1,382,382,nein,
Heidelberg,Odenwald,Haus Odenwald,Aufzugsanlagen,Personenaufzug,1314965,1,382,382,nein,
Heidelberg,Neckar,Küche,Aufzugsanlagen,Personenaufzug,1214135,1,382,382,nein,
Heidelberg,Odenwald,Haus Odenwald,Aufzugsanlagen,Personenaufzug,1446237,1,382,382,nein,
Heidelberg,Mannheim,Haus Mannheim,Aufzugsanlagen,Personenaufzug,2355357,1,382,382,nein,
Heidelberg,Mannheim,Erweiterung Speyerer Hof,Aufzugsanlagen,Personenaufzug,2760531,1,382,382,nein,
Heidelberg,Technikzentrale,"Haus Odenwald, Technikzentrale",Druckbehälter,Druckbehälter,1911031,5,720,144,nein,
Heidelberg,Neckar,Stations- und Zentralbau,Druckanlage,Druckanlage zu EQ 1911031,,5,138,28,nein,Ab 2025: Preis inkl. Abfrage Cybersicherheit-Doku
Heidelberg,Odenwald,"Haus Odenwald, Technikzentrale",Druckbehälter,Druckbehälter,1911033,5,720,144,nein,
Heidelberg,Odenwald,"Haus Odenwald, Technikzentrale",Druckanlage,Druckanlage zu EQ 1911033,,5,138,28,nein,Ab 2025: Preis inkl. Abfrage Cybersicherheit-Doku
Heidelberg,Neckar,Scherenhubtisch,Hebebühne,Hebebühne,2147461,2,255,127,nein,
Heidelberg,Mannheim,Haus Mannheim,Lüft.Garage,bis 75 Stellplätze,2508618,3,945,315,nein,
Heidelberg,Mannheim,Treppenhaus 2 - Bestand,Nat.Rauchabzug,Nat.Rauchabzug,3178371,3,609,203,nein,EQ 3178371 (4 TRH-Anlagen gebündelt)
Heidelberg,Mannheim,Treppenhaus 3 - TRH Mitte,Nat.Rauchabzug,Nat.Rauchabzug,3178371,3,609,203,nein,EQ 3178371 (4 TRH-Anlagen gebündelt)
Heidelberg,Mannheim,Treppenhaus 3 - TRH Nord,Nat.Rauchabzug,Nat.Rauchabzug,3178371,3,609,203,nein,EQ 3178371 (4 TRH-Anlagen gebündelt)
Heidelberg,Mannheim,Lüftungszentrale im 4. OG,Nat.Rauchabzug,Nat.Rauchabzug,3178371,3,609,203,nein,EQ 3178371 (4 TRH-Anlagen gebündelt)
Heidelberg,Mannheim,1. und 2. Bauabschnitt,Brandmeldeanlage,BMA,2809691,3,4612,1537,nein,Prüfung gemäß Baurecht
